1girl,1个女孩
solo,单人
highres,高分辨率
long hair,长发
commentary request,评论请求
breasts,胸部
looking at viewer,看着镜头
blush,脸红
smile,微笑
short hair,短发
open mouth,张开嘴
bangs,刘海
blue eyes,蓝色眼睛
multiple girls,多个女孩
skirt,短裙
blonde hair,金色头发
large breasts,大的胸部
brown hair,棕色头发
simple background,简单的背景
shirt,衬衫
black hair,黑色头发
hair ornament,发饰
absurdres,荒谬的
red eyes,红色眼睛
thighhighs,高抬腿
hat,帽子
gloves,手套
1boy,1个男孩
bad id,不好的ID
long sleeves,长袖
white background,白色背景
dress,连衣裙
original,原始的
ribbon,丝带
touhou,东方Project
bow,蝴蝶结
navel,肚脐
bad pixiv id,不好的的 pixiv id
2girls,2个女孩
photoshop (medium),Photoshop（一般）
holding,拿着
animal ears,动物耳朵
cleavage,乳沟
hair between eyes,眼睛之间的头发
bare shoulders,裸露肩膀
brown eyes,棕色眼睛
twintails,双马尾
medium breasts,普通大小的胸部
commentary,评论
jewelry,饰品
sitting,坐着
very long hair,很长的头发
underwear,内衣
closed mouth,闭着嘴巴
nipples,乳头
school uniform,校服
green eyes,绿色眼睛
blue hair,蓝色头发
standing,站着
purple eyes,紫色眼睛
collarbone,锁骨
panties,内裤
monochrome,单色
tail,尾巴
jacket,夹克
translated,翻译的
swimsuit,泳装
full body,全身
closed eyes,闭上眼睛
hair ribbon,发带
kantai collection,舰队收藏
yellow eyes,黄色眼睛
weapon,武器
ponytail,马尾辫
upper body,上半身
purple hair,紫色头发
ass,屁股
pink hair,粉色头发
white shirt,白色衬衫
comic,漫画
braid,编织辫
flower,花
ahoge,呆毛
:d,:d
short sleeves,短袖
hair bow,头发上的蝴蝶结
greyscale,灰度
hetero,有异性
white hair,白色头发
male focus,聚焦男性
heart,心
pantyhose,连裤袜
bikini,比基尼
sidelocks,侧锁
nude,全裸
thighs,大腿
red hair,红色头发
cowboy shot,七分身镜头
pleated skirt,百褶裙
sweat,流汗
hairband,发带
translation request,翻译请求
small breasts,小的胸部
earrings,耳环
multicolored hair,多彩的头发
boots,靴子
lying,侧躺
censored,有码
grey hair,灰色头发
